PassengerID,Survived,Pclass,Sex,Age,sibsp,parch,Fare,Embarked
846,No,3,Male,42,0,0,7.55,S
747,No,3,Male,16,1,1,20.25,S
280,Yes,3,Female,35,1,1,20.25,S
309,No,2,Male,30,1,0,24,C
875,Yes,2,Female,28,1,0,24,C
366,No,3,Male,30,0,0,7.25,S
402,No,3,Male,26,0,0,8.05,S
41,No,3,Female,40,1,0,9.475,S
856,Yes,3,Female,18,0,1,9.35,S
208,Yes,3,Male,26,0,0,18.7875,C
811,No,3,Male,26,0,0,7.8875,S
841,No,3,Male,20,0,0,7.925,S
211,No,3,Male,24,0,0,7.05,S
785,No,3,Male,25,0,0,7.05,S
731,Yes,1,Female,29,0,0,211.3375,S
5,No,3,Male,35,0,0,8.05,S
306,Yes,1,Male,0.92,1,2,151.55,S
298,No,1,Female,2,1,2,151.55,S
499,No,1,Female,25,1,2,151.55,S
835,No,3,Male,18,0,0,8.3,S
193,Yes,3,Female,19,1,0,7.8542,S
461,Yes,1,Male,48,0,0,26.55,S
851,No,3,Male,4,4,2,31.275,S
814,No,3,Female,6,4,2,31.275,S
120,No,3,Female,2,4,2,31.275,S
69,Yes,3,Female,17,4,2,7.925,S
542,No,3,Female,9,4,2,31.275,S
543,No,3,Female,11,4,2,31.275,S
14,No,3,Male,39,1,5,31.275,S
147,Yes,3,Male,27,0,0,7.7958,S
611,No,3,Female,39,1,5,31.275,S
92,No,3,Male,20,0,0,7.8542,S
145,No,2,Male,18,0,0,11.5,S
276,Yes,1,Female,63,1,0,77.9583,S
807,No,1,Male,39,0,0,0,S
519,Yes,2,Female,36,1,0,26,S
572,Yes,1,Female,53,2,0,51.4792,S
354,No,3,Male,25,1,0,17.8,S
50,No,3,Female,18,1,0,17.8,S
494,No,1,Male,71,0,0,49.5042,C
364,No,3,Male,35,0,0,7.05,S
183,No,3,Male,9,4,2,31.3875,S
262,Yes,3,Male,3,4,2,31.3875,S
234,Yes,3,Female,5,4,2,31.3875,S
26,Yes,3,Female,38,1,5,31.3875,S
701,Yes,1,Female,18,1,0,227.525,C
115,No,3,Female,17,0,0,14.4583,C
245,No,3,Male,30,0,0,7.225,C
370,Yes,1,Female,24,0,0,69.3,C
834,No,3,Male,23,0,0,7.8542,S
781,Yes,3,Female,13,0,0,7.2292,C
207,No,3,Male,32,1,0,15.85,S
86,Yes,3,Female,33,3,0,15.85,S
645,Yes,3,Female,0.75,2,1,19.2583,C
470,Yes,3,Female,0.75,2,1,19.2583,C
449,Yes,3,Female,5,2,1,19.2583,C
859,Yes,3,Female,24,0,3,19.2583,C
662,No,3,Male,40,0,0,7.225,C
758,No,2,Male,18,0,0,11.5,S
871,No,3,Male,26,0,0,7.8958,S
328,Yes,2,Female,36,0,0,13,S
884,No,2,Male,28,0,0,10.5,S
763,Yes,3,Male,20,0,0,7.2292,C
703,No,3,Female,18,0,1,14.4542,C
363,No,3,Female,45,0,1,14.4542,C
291,Yes,1,Female,26,0,0,78.85,S
631,Yes,1,Male,80,0,0,30,S
113,No,3,Male,22,0,0,8.05,S
151,No,2,Male,51,0,0,12.525,S
169,No,1,Male,,0,0,25.925,S
119,No,1,Male,24,0,1,247.5208,C
300,Yes,1,Female,50,0,1,247.5208,C
219,Yes,1,Female,32,0,0,76.2917,C
544,Yes,2,Male,32,1,0,26,S
547,Yes,2,Female,19,1,0,26,S
373,No,3,Male,19,0,0,8.05,S
184,Yes,2,Male,1,2,1,39,S
619,Yes,2,Female,4,2,1,39,S
249,Yes,1,Male,37,1,1,52.5542,S
872,Yes,1,Female,47,1,1,52.5542,S
22,Yes,2,Male,34,0,0,13,S
890,Yes,1,Male,26,0,0,30,C
163,No,3,Male,26,0,0,7.775,S
226,No,3,Male,22,0,0,9.35,S
734,No,2,Male,23,0,0,13,S
379,No,3,Male,20,0,0,4.0125,C
381,Yes,1,Female,42,0,0,227.525,C
75,Yes,3,Male,32,0,0,56.4958,S
409,No,3,Male,21,0,0,7.775,S
485,Yes,1,Male,25,1,0,91.0792,C
292,Yes,1,Female,19,1,0,91.0792,C
270,Yes,1,Female,35,0,0,135.6333,S
431,Yes,1,Male,28,0,0,26.55,S
340,No,1,Male,45,0,0,35.5,S
210,Yes,1,Male,40,0,0,31,C
12,Yes,1,Female,58,0,0,26.55,S
629,No,3,Male,26,0,0,7.8958,S
853,No,3,Female,9,1,1,15.2458,C
599,No,3,Male,,0,0,7.225,C
141,No,3,Female,,0,2,15.2458,C
594,No,3,Female,,0,2,7.75,Q
189,No,3,Male,40,1,1,15.5,Q
658,No,3,Female,32,1,1,15.5,Q
625,No,3,Male,21,0,0,16.1,S
357,Yes,1,Female,22,0,1,55,S
222,No,2,Male,27,0,0,13,S
508,Yes,1,Male,,0,0,26.55,S
478,No,3,Male,29,1,0,7.0458,S
1,No,3,Male,22,1,0,7.25,S
767,No,1,Male,,0,0,39.6,C
615,No,3,Male,35,0,0,8.05,S
346,Yes,2,Female,24,0,0,13,S
685,No,2,Male,60,1,1,39,S
195,Yes,1,Female,44,0,0,27.7208,C
671,Yes,2,Female,40,1,1,39,S
729,No,2,Male,25,1,0,26,S
144,No,3,Male,19,0,0,6.75,Q
338,Yes,1,Female,41,0,0,134.5,C
388,Yes,2,Female,36,0,0,13,S
667,No,2,Male,25,0,0,13,S
537,No,1,Male,45,0,0,26.55,S
150,No,2,Male,42,0,0,13,S
866,Yes,2,Female,42,0,0,13,S
535,No,3,Female,30,0,0,8.6625,S
472,No,3,Male,38,0,0,8.6625,S
271,No,1,Male,,0,0,31,S
